Date Latitude Longitude M
19320606 40.8000 -124.3000 6.4
19330311 33.7000 -118.0000 6.4
19330311 33.6830 -118.0500 5.5
19330625 39.0800 -119.3300 6.1
19340130 38.2800 -118.3600 6.3
19340608 35.8000 -120.3300 6.0
19340706 41.2500 -125.7500 6.5
19341230 32.2500 -115.5000 6.5
19341231 32.0000 -114.7500 7.0
19350102 40.2500 -125.2500 5.8
19350224 32.0000 -115.2000 5.5
19370207 40.5000 -125.2500 5.8
19370325 33.5000 -116.4000 5.6
19380912 40.0000 -124.0000 5.5
19381203 37.4530 -118.6040 5.7
19390111 39.0000 -119.2000 5.5
19400208 40.0000 -121.6000 5.7
19400519 32.7670 -115.4830 5.5
19400519 32.7670 -115.4830 5.5
19400519 32.7670 -115.4830 5.5
19400519 32.7330 -115.5000 7.0
19401220 40.0000 -124.0000 5.5
19410209 40.7000 -125.4000 6.6
19410701 34.3700 -119.5800 5.9
19410914 37.5670 -118.7330 5.5
19410914 37.5670 -118.7330 5.5
19411003 40.4000 -124.8000 6.4
19421021 32.9670 -116.0000 6.4
19421022 33.2330 -115.7170 6.0
19421203 39.7000 -119.3000 5.9
19430809 38.2000 -118.2000 5.5
19450815 33.2170 -116.1330 5.7
19460315 35.7530 -117.9860 5.5
19460315 35.7500 -118.0500 6.0
19460718 34.5330 -115.9830 5.5
19470410 34.9830 -116.5500 6.5
19481204 33.9330 -116.3830 6.0
19481229 39.5500 -120.0800 6.0
19490211 37.0830 -117.7500 5.6
19490502 34.0170 -115.6830 5.8
19491104 32.2000 -116.5500 5.7
19500320 40.4500 -121.4700 5.5
19500729 33.1170 -115.5670 5.5
19501214 40.0800 -120.0700 5.6
19510124 32.9830 -115.7330 5.8
19511008 40.2500 -124.5000 6.0
19511226 32.8170 -118.3500 5.9
19520721 35.1330 -118.7670 5.5
19520721 35.0000 -119.0330 5.6
19520721 35.0000 -119.0170 7.3
19520721 35.0000 -119.0000 6.3
19520723 35.3670 -118.5830 5.7
19520723 35.2170 -118.8170 5.8
19520725 35.3170 -118.4940 5.8
19520725 35.3150 -118.5160 6.0
19520729 35.3830 -118.8500 6.3
19520731 35.3330 -118.6000 5.5
19520822 35.3330 -118.9170 5.8
19521122 35.7680 -121.1450 6.0
19530614 32.9500 -115.7170 5.5
19540112 35.0000 -119.0170 5.7
19540201 32.3000 -115.3000 5.6
19540319 33.2830 -116.1830 6.3
19540319 33.2830 -116.1830 5.5
19540425 36.9030 -121.6100 5.6
19541017 31.5000 -116.5000 5.7
19541024 31.5000 -116.0000 6.0
19541112 31.5000 -116.0000 6.3
19541125 40.2700 -125.6300 6.5
19541221 40.9300 -123.7800 6.6
19560209 31.7500 -115.9170 6.5
19560209 31.7500 -115.9170 6.0
19560209 31.7500 -115.9170 5.7
19560209 31.7500 -115.9170 5.7
19560209 31.6000 -115.7000 5.8
19560214 31.5000 -115.5000 6.2
19560215 31.5000 -115.5000 6.2
19561011 40.6700 -125.7700 6.0
19581201 32.2500 -115.7500 5.8
19581201 32.2500 -115.7500 5.5
19590401 39.7200 -120.2000 5.6
19590724 41.1300 -125.3000 5.8
19600606 40.8200 -124.8800 5.7
19610409 36.7000 -121.3000 5.5
19610409 36.6800 -121.3000 5.5
19620823 41.8500 -124.3300 5.6
19630611 31.7960 -116.2690 5.8
19640322 38.7000 -118.8000 5.5
19641222 31.8000 -117.1000 5.6
19660628 35.9600 -120.5050 5.5
19660628 35.9500 -120.5000 6.0
19660807 31.8000 -114.5000 6.3
19660912 39.4200 -120.1500 6.0
19671210 40.5000 -124.7000 5.6
19680409 33.1900 -116.1290 6.6
19690428 33.3430 -116.3460 5.8
19691002 38.4700 -122.6900 5.6
19691002 38.4600 -122.6900 5.7
19691105 34.6090 -121.4350 5.6
19710209 34.4110 -118.4010 6.6
19710209 34.4110 -118.4010 5.8
19710209 34.4110 -118.4010 5.8
19730221  34.099  -119.039 5.9
19750801 39.4400 -121.5300 6.1
19761126 41.2900 -125.7100 6.8
19780813 34.3970 -119.6820 6.0
19781004 37.5295 -118.6608 5.8
19790806 37.1035 -121.5118 5.7
19791015 32.6137 -115.3182 6.5
19791016 33.0137 -115.5552 5.5
19800124 37.8300 -121.7715 5.8
19800225 33.5010 -116.5132 5.5
19800525 37.6275 -118.9273 6.0
19800525 37.6250 -118.8592 5.7
19800525 37.6090 -118.8468 6.2
19800525 37.5607 -118.8310 5.9
19800527 37.5057 -118.8262 5.9
19800609 32.2170 -114.9830 6.4
19800907 38.0647 -118.5905 5.5
19800907 37.9942 -118.4017 5.7
19801108 41.1200 -124.6700 7.4
19810426 33.0985 -115.6317 5.9
19810904 33.6515 -119.0930 5.9
19810930 37.5852 -118.8665 5.7
19820924 37.8548 -118.1512 5.5
19830107 37.6637 -119.0082 5.6
19830107 37.5788 -118.9043 5.6
19830502 36.2333 -120.2833 5.6
19830502 36.2300 -120.3142 6.4
19830722 36.2233 -120.3950 6.0
19830824 40.3800 -124.8300 5.6
19840424 37.3097 -121.6767 6.2
19841123 37.4697 -118.5968 5.8
19841123 37.4372 -118.6070 5.5
19841126 37.4487 -118.6475 5.6
19850804 36.1170 -120.1500 6.2
19860126 36.8032 -121.2840 5.5
19860331 37.4790 -121.6847 5.6
19860708 33.9992 -116.6085 6.0
19860713 32.9700 -117.8700 5.8
19860721 37.5388 -118.4425 6.4
19870731 40.4200 -124.4100 6.0
19871001 34.0670 -118.0830 6.0
19871124 33.0900 -115.7925 6.2
19871124 33.0145 -115.8517 6.6
19891018 37.0397 -121.8773 6.9
19901024 38.0460 -119.1570 5.8
19910628 34.2615 -117.9995 5.8
19910816 41.6330 -125.8670 6.3
19910817 41.7100 -125.6300 7.0
19910817 40.2872 -124.2380 6.2
19920423 33.9612 -116.3175 6.2
19920425 40.3327 -124.2295 7.2
19920426 40.4272 -124.5965 6.6
19920426 40.3753 -124.5853 6.6
19920628 34.2002 -116.4367 7.3
19920628 34.1670 -116.8268 6.5
19920628 34.1618 -116.8522 5.5
19920628 34.1307 -116.4082 5.7
19920629 34.1045 -116.4032 5.5
19920711 35.2100 -118.0657 5.7
19930517 37.1680 -117.7948 6.2
19930921 42.3085 -122.0000 6.0
19930921 42.2930 -122.0687 5.5
19940117 34.3263 -118.6983 6.0
19940117 34.2580 -118.4738 6.2
19940117 34.2133 -118.5370 6.7
19940901 40.4000 -125.6800 7.0
19940912 38.8330 -119.6780 6.2
19950920 35.7558 -117.6302 5.6
19951228 38.7210 -119.6590 5.5
19970122 40.2720 -124.3940 5.6
19981127 40.6670 -125.3840 5.6
19991016 34.6815 -116.2848 5.8
19991016 34.6000 -116.2700 7.1
19991016 34.4400 -116.2500 5.7
